Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Link
BOIRF,Boiron SA,474.44M,28.50,-,Drug Manufacturers - Specialty & Generic,200,18.69,https://stockanalysis.com/quote/otc/BOIRF/
GLASF,Glass House Brands Inc.,441.86M,5.76,-2.04%,Drug Manufacturers - Specialty & Generic,"51,900",-,https://stockanalysis.com/quote/otc/GLASF/
AGYTF,Allergy Therapeutics plc,428.82M,0.05,-,Drug Manufacturers - Specialty & Generic,"5,000",-,https://stockanalysis.com/quote/otc/AGYTF/
VRNOF,Verano Holdings Corp.,424.93M,1.18,-5.22%,Drug Manufacturers - Specialty & Generic,"471,500",-,https://stockanalysis.com/quote/otc/VRNOF/
PTCHF,PureTech Health plc,408.88M,1.69,-15.35%,Biotechnology,"14,500",-,https://stockanalysis.com/quote/otc/PTCHF/
FGHQF,Frontage Holdings Corporation,382.05M,0.10,-,Biotechnology,"100,000",62.64,https://stockanalysis.com/quote/otc/FGHQF/
KHTRF,Knight Therapeutics Inc.,372.86M,3.74,-0.08%,Drug Manufacturers - Specialty & Generic,"5,000",-,https://stockanalysis.com/quote/otc/KHTRF/
INRLF,Valneva SE,368.24M,2.09,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/INRLF/
ASCLF,Ascletis Pharma Inc.,355.53M,0.24,-,Biotechnology,500,-,https://stockanalysis.com/quote/otc/ASCLF/
PBBIF,Probi AB (publ),354.94M,31.60,-,Biotechnology,"51,727",330.75,https://stockanalysis.com/quote/otc/PBBIF/
CLVLF,Clinuvel Pharmaceuticals Limited,354.13M,7.31,-,Biotechnology,-,14.89,https://stockanalysis.com/quote/otc/CLVLF/
NWBO,"Northwest Biotherapeutics, Inc.",349.76M,0.27,-,Biotechnology,"3,021,500",-,https://stockanalysis.com/quote/otc/NWBO/
CLVLY,Clinuvel Pharmaceuticals Limited,342.78M,7.02,-6.40%,Biotechnology,985,14.42,https://stockanalysis.com/quote/otc/CLVLY/
CSPHF,CStone Pharmaceuticals,342.64M,0.23,12.41%,Biotechnology,"5,800",-,https://stockanalysis.com/quote/otc/CSPHF/
CRLBF,Cresco Labs Inc.,326.19M,0.94,-2.79%,Drug Manufacturers - Specialty & Generic,"307,800",-,https://stockanalysis.com/quote/otc/CRLBF/
EAPIF,Euroapi S.A.,302.24M,3.05,1.67%,Drug Manufacturers - Specialty & Generic,"3,000",-,https://stockanalysis.com/quote/otc/EAPIF/
PRRUF,Immutep Limited,290.65M,0.20,-,Biotechnology,"1,000",-,https://stockanalysis.com/quote/otc/PRRUF/
SLNCF,Silence Therapeutics plc,282.82M,1.64,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/SLNCF/
CPHRF,Cipher Pharmaceuticals Inc.,253.12M,9.87,-3.61%,Drug Manufacturers - Specialty & Generic,"16,200",15.96,https://stockanalysis.com/quote/otc/CPHRF/
BSEM,"BioStem Technologies, Inc.",249.28M,15.00,-3.16%,Biotechnology,"40,900",18.32,https://stockanalysis.com/quote/otc/BSEM/
AVCTF,Avacta Group Plc,227.63M,0.69,22.67%,Biotechnology,"4,600",-,https://stockanalysis.com/quote/otc/AVCTF/
VBIZF,Viva Biotech Holdings,209.24M,0.07,-,Biotechnology,"30,000",-,https://stockanalysis.com/quote/otc/VBIZF/
IUGNF,Imugene Limited,196.49M,0.03,-3.33%,Biotechnology,"131,633",-,https://stockanalysis.com/quote/otc/IUGNF/
NWPHF,Newron Pharmaceuticals S.p.A.,193.17M,2.10,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/NWPHF/
MLLCF,Molecular Partners AG,182.60M,4.11,-17.80%,Biotechnology,100,-,https://stockanalysis.com/quote/otc/MLLCF/
CYDY,CytoDyn Inc.,182.10M,0.15,15.38%,Biotechnology,"4,696,800",-,https://stockanalysis.com/quote/otc/CYDY/
GNFTF,Genfit S.A.,175.05M,3.54,2.91%,Biotechnology,"2,000",7.34,https://stockanalysis.com/quote/otc/GNFTF/
IDRSF,Idorsia Ltd,160.02M,0.91,7.06%,Biotechnology,601,-,https://stockanalysis.com/quote/otc/IDRSF/
TSNDF,TerrAscend Corp.,159.94M,0.56,-4.92%,Drug Manufacturers - Specialty & Generic,"253,998",-,https://stockanalysis.com/quote/otc/TSNDF/
NGENF,NervGen Pharma Corp.,150.49M,2.13,0.47%,Biotechnology,"54,800",-,https://stockanalysis.com/quote/otc/NGENF/
IPHYF,Innate Pharma S.A.,149.79M,2.90,114.81%,Biotechnology,"1,650",-,https://stockanalysis.com/quote/otc/IPHYF/
GRUSF,Grown Rogue International Inc.,138.57M,0.63,-,Drug Manufacturers - Specialty & Generic,"31,000",35.93,https://stockanalysis.com/quote/otc/GRUSF/
PHCUF,Photocure ASA,137.06M,5.17,3.46%,Drug Manufacturers - Specialty & Generic,400,101.89,https://stockanalysis.com/quote/otc/PHCUF/
RAONF,Race Oncology Limited,133.41M,1.22,-,Biotechnology,"8,000",-,https://stockanalysis.com/quote/otc/RAONF/
PLNH,Planet 13 Holdings Inc.,117.12M,0.36,-1.10%,Drug Manufacturers - Specialty & Generic,"831,800",-,https://stockanalysis.com/quote/otc/PLNH/
HLOSF,Healios K.K.,115.35M,0.96,-,Biotechnology,100,-,https://stockanalysis.com/quote/otc/HLOSF/
SCNLF,Scancell Holdings plc,114.53M,0.18,-,Biotechnology,"1,206",-,https://stockanalysis.com/quote/otc/SCNLF/
ABSCF,AB Science S.A.,113.25M,0.90,12.50%,Drug Manufacturers - Specialty & Generic,100,-,https://stockanalysis.com/quote/otc/ABSCF/
FAMDF,Futura Medical plc,112.53M,0.38,2.70%,Biotechnology,-,-,https://stockanalysis.com/quote/otc/FAMDF/
BRIBF,Brii Biosciences Limited,102.36M,0.13,-,Biotechnology,"1,000",-,https://stockanalysis.com/quote/otc/BRIBF/
ORYZF,Oryzon Genomics S.A.,97.91M,1.62,-9.50%,Biotechnology,"5,000",-,https://stockanalysis.com/quote/otc/ORYZF/
AAWH,"Ascend Wellness Holdings, Inc.",88.30M,0.43,-,Drug Manufacturers - Specialty & Generic,"109,800",-,https://stockanalysis.com/quote/otc/AAWH/
PBIGF,Paradigm Biopharmaceuticals Limited,88.02M,0.27,-,Biotechnology,124,-,https://stockanalysis.com/quote/otc/PBIGF/
BIOYF,BioSyent Inc.,87.97M,7.81,-0.51%,Drug Manufacturers - Specialty & Generic,"12,900",16.72,https://stockanalysis.com/quote/otc/BIOYF/
ACHFF,Arch Biopartners Inc.,86.91M,1.34,1.90%,Biotechnology,"6,600",-,https://stockanalysis.com/quote/otc/ACHFF/
HLTRF,HLS Therapeutics Inc.,83.91M,2.75,-,Drug Manufacturers - Specialty & Generic,202,-,https://stockanalysis.com/quote/otc/HLTRF/
VACBF,Nykode Therapeutics AS,78.44M,0.24,-,Biotechnology,"10,916",-,https://stockanalysis.com/quote/otc/VACBF/
MDNAF,Medicenna Therapeutics Corp.,74.17M,0.95,-7.77%,Biotechnology,"139,300",-,https://stockanalysis.com/quote/otc/MDNAF/
SBBCF,Simply Better Brands Corp.,72.75M,0.74,1.12%,Drug Manufacturers - Specialty & Generic,"19,456",-,https://stockanalysis.com/quote/otc/SBBCF/
AURX,"Nuo Therapeutics, Inc.",71.28M,1.52,8.75%,Biotechnology,"2,453",-,https://stockanalysis.com/quote/otc/AURX/
MEDXF,Medexus Pharmaceuticals Inc.,69.13M,2.74,9.72%,Drug Manufacturers - Specialty & Generic,"143,400",30.12,https://stockanalysis.com/quote/otc/MEDXF/
ZIVO,"ZIVO Bioscience, Inc.",67.73M,19.10,-0.47%,Biotechnology,500,-,https://stockanalysis.com/quote/otc/ZIVO/
MSCLF,Satellos Bioscience Inc.,67.01M,0.60,-2.28%,Biotechnology,700,-,https://stockanalysis.com/quote/otc/MSCLF/
JWCTF,JW (Cayman) Therapeutics Co. Ltd,65.47M,0.16,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/JWCTF/
MMIRF,MedMira Inc.,63.19M,0.01,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/MMIRF/
CVALF,Covalon Technologies Ltd.,60.73M,2.21,-3.07%,Biotechnology,"36,000",30.73,https://stockanalysis.com/quote/otc/CVALF/
ORXOY,Orexo AB (publ),59.82M,1.98,-,Drug Manufacturers - Specialty & Generic,800,-,https://stockanalysis.com/quote/otc/ORXOY/
JUSHF,Jushi Holdings Inc.,59.11M,0.30,1.35%,Drug Manufacturers - Specialty & Generic,"53,700",-,https://stockanalysis.com/quote/otc/JUSHF/
MRES,Institute of Biomedical Research Corp.,54.54M,0.02,47.63%,Biotechnology,"2,554,828",-,https://stockanalysis.com/quote/otc/MRES/
LOVFF,Cannara Biotech Inc.,53.62M,0.57,3.18%,Drug Manufacturers - Specialty & Generic,"18,500",11.24,https://stockanalysis.com/quote/otc/LOVFF/
RLFTY,Relief Therapeutics Holding SA,52.62M,4.12,-8.48%,Biotechnology,111,-,https://stockanalysis.com/quote/otc/RLFTY/
RLFTF,Relief Therapeutics Holding SA,52.62M,4.13,-6.33%,Biotechnology,300,-,https://stockanalysis.com/quote/otc/RLFTF/
AYRWF,Ayr Wellness Inc.,52.37M,0.45,-2.61%,Drug Manufacturers - Specialty & Generic,"85,600",-,https://stockanalysis.com/quote/otc/AYRWF/
SEOVF,Sernova Corp.,51.20M,0.15,-11.76%,Biotechnology,"34,800",-,https://stockanalysis.com/quote/otc/SEOVF/
KNTPF,Kintor Pharmaceutical Limited,49.49M,0.16,-3.03%,Biotechnology,"20,000",-,https://stockanalysis.com/quote/otc/KNTPF/
BBIXF,Bonus BioGroup Ltd.,49.39M,0.02,-,Biotechnology,"1,000",-,https://stockanalysis.com/quote/otc/BBIXF/
ATGGF,Actinogen Medical Limited,47.21M,0.02,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/ATGGF/
PVCT,"Provectus Biopharmaceuticals, Inc.",47.20M,0.11,-,Biotechnology,"343,600",-,https://stockanalysis.com/quote/otc/PVCT/
ZLSCF,ZYUS Life Sciences Corporation,46.51M,0.64,-8.21%,Drug Manufacturers - Specialty & Generic,500,-,https://stockanalysis.com/quote/otc/ZLSCF/
ITHUF,"iAnthus Capital Holdings, Inc.",46.26M,0.01,-,Drug Manufacturers - Specialty & Generic,"41,700",-,https://stockanalysis.com/quote/otc/ITHUF/
HRGN,Harvard Apparatus Regenerative Technology Inc.,45.73M,2.87,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/HRGN/
MRMD,MariMed Inc.,42.40M,0.11,-4.31%,Drug Manufacturers - Specialty & Generic,"453,700",-,https://stockanalysis.com/quote/otc/MRMD/
CBWTF,Auxly Cannabis Group Inc.,40.08M,0.04,2.94%,Drug Manufacturers - Specialty & Generic,"1,600,400",-,https://stockanalysis.com/quote/otc/CBWTF/
HSTC,"HST Global, Inc.",39.65M,0.83,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/HSTC/
MBXBF,Microbix Biosystems Inc.,39.45M,0.30,1.71%,Biotechnology,"46,100",15.14,https://stockanalysis.com/quote/otc/MBXBF/
INNPF,InnoCan Pharma Corporation,39.19M,0.16,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/INNPF/
ETST,"Earth Science Tech, Inc.",37.89M,0.13,-13.60%,Drug Manufacturers - Specialty & Generic,"173,758",16.46,https://stockanalysis.com/quote/otc/ETST/
GSGTF,GenSight Biologics S.A.,36.14M,0.24,-,Biotechnology,"4,012",-,https://stockanalysis.com/quote/otc/GSGTF/
CBSTF,The Cannabist Company Holdings Inc.,35.21M,0.08,7.14%,Drug Manufacturers - Specialty & Generic,"682,700",-,https://stockanalysis.com/quote/otc/CBSTF/
NRXBF,NurExone Biologic Inc.,33.39M,0.46,-,Biotechnology,79,-,https://stockanalysis.com/quote/otc/NRXBF/
BNXTF,BioNxt Solutions Inc.,32.21M,0.28,-6.05%,Drug Manufacturers - Specialty & Generic,100,-,https://stockanalysis.com/quote/otc/BNXTF/
DUTV,"Digital Utilities Ventures, Inc.",31.82M,0.01,4.84%,Drug Manufacturers - Specialty & Generic,"2,537,948",-,https://stockanalysis.com/quote/otc/DUTV/
POLBF,Poolbeg Pharma PLC,31.41M,0.12,-,Biotechnology,300,-,https://stockanalysis.com/quote/otc/POLBF/
MDDVF,Medical Developments International Limited,30.46M,0.25,-,Drug Manufacturers - Specialty & Generic,"50,000",-,https://stockanalysis.com/quote/otc/MDDVF/
HBPCF,Helix BioPharma Corp.,30.22M,0.45,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/HBPCF/
GLABF,Gemina Laboratories Ltd.,30.03M,0.55,17.69%,Biotechnology,"28,000",-,https://stockanalysis.com/quote/otc/GLABF/
DBCCF,Decibel Cannabis Company Inc.,29.96M,0.05,-1.66%,Drug Manufacturers - Specialty & Generic,"28,500",-,https://stockanalysis.com/quote/otc/DBCCF/
PRNAF,Alterity Therapeutics Limited,29.42M,0.00,-47.06%,Biotechnology,"10,000",-,https://stockanalysis.com/quote/otc/PRNAF/
IGXT,IntelGenx Technologies Corp.,29.17M,0.17,-3.75%,Biotechnology,"37,230",-,https://stockanalysis.com/quote/otc/IGXT/
VEXTF,"Vext Science, Inc.",29.14M,0.12,-3.86%,Drug Manufacturers - Specialty & Generic,"1,500",-,https://stockanalysis.com/quote/otc/VEXTF/
LIANY,LianBio,28.46M,0.26,1.15%,Biotechnology,"4,500",-,https://stockanalysis.com/quote/otc/LIANY/
LEEEF,Leef Brands Inc.,27.94M,0.18,-3.23%,Drug Manufacturers - Specialty & Generic,"82,900",-,https://stockanalysis.com/quote/otc/LEEEF/
SPHRY,Starpharma Holdings Limited,26.97M,0.66,-8.33%,Biotechnology,100,-,https://stockanalysis.com/quote/otc/SPHRY/
SPHRF,Starpharma Holdings Limited,26.97M,0.07,-3.96%,Biotechnology,"1,000",-,https://stockanalysis.com/quote/otc/SPHRF/
GWAYF,Greenway Greenhouse Cannabis Corporation,26.42M,0.21,-3.41%,Drug Manufacturers - Specialty & Generic,"2,100",-,https://stockanalysis.com/quote/otc/GWAYF/
AVCNF,Avicanna Inc.,25.96M,0.17,-27.19%,Drug Manufacturers - Specialty & Generic,"5,700",-,https://stockanalysis.com/quote/otc/AVCNF/
GSTK,Growth Stalk Holdings Corp.,25.72M,1.10,-,Drug Manufacturers - Specialty & Generic,200,-,https://stockanalysis.com/quote/otc/GSTK/
CNTMF,Cansortium Inc.,25.56M,0.09,-2.27%,Drug Manufacturers - Specialty & Generic,"69,500",-,https://stockanalysis.com/quote/otc/CNTMF/
SHIEF,Shield Therapeutics plc,23.85M,0.03,-,Drug Manufacturers - Specialty & Generic,"4,000",-,https://stockanalysis.com/quote/otc/SHIEF/
BMNDF,Biomind Labs Inc.,23.85M,0.31,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/BMNDF/
INIS,International Isotopes Inc.,23.51M,0.04,-,Drug Manufacturers - Specialty & Generic,"167,900",-,https://stockanalysis.com/quote/otc/INIS/
HMTXF,Hemostemix Inc.,23.38M,0.17,75.79%,Biotechnology,"140,653",-,https://stockanalysis.com/quote/otc/HMTXF/
CLYYF,Celyad Oncology SA,22.05M,0.68,-,Biotechnology,"2,420",-,https://stockanalysis.com/quote/otc/CLYYF/
DTCFF,Defence Therapeutics Inc.,21.51M,0.45,15.36%,Biotechnology,"8,000",-,https://stockanalysis.com/quote/otc/DTCFF/
MILFF,1CM Inc.,20.80M,0.19,-51.06%,Drug Manufacturers - Specialty & Generic,473,45.56,https://stockanalysis.com/quote/otc/MILFF/
CXXIF,C21 Investments Inc.,20.79M,0.18,-1.08%,Drug Manufacturers - Specialty & Generic,"39,400",-,https://stockanalysis.com/quote/otc/CXXIF/
RSCI,"Redwood Scientific Technologies, Inc.",20.49M,0.10,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/RSCI/
RDTCF,Rapid Dose Therapeutics Corp.,20.02M,0.18,20.00%,Biotechnology,500,-,https://stockanalysis.com/quote/otc/RDTCF/
MEDIF,MediPharm Labs Corp.,19.93M,0.05,8.33%,Drug Manufacturers - Specialty & Generic,"54,700",-,https://stockanalysis.com/quote/otc/MEDIF/
NXSCF,Next Science Limited,19.75M,0.07,-5.71%,Drug Manufacturers - Specialty & Generic,"30,000",-,https://stockanalysis.com/quote/otc/NXSCF/
IMUC,"EOM Pharmaceuticals Holdings, Inc.",19.60M,0.17,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/IMUC/
RAPH,Raphael Pharmaceutical Inc.,18.70M,0.40,-,Drug Manufacturers - Specialty & Generic,665,-,https://stockanalysis.com/quote/otc/RAPH/
